"UID","Value","English","Orphan"
3958,"SHIPPINGADDRESS2","Shipping Address2",No
3959,"SHIPPINGADDRESS3","Shipping Address3",No
3960,"MAINCITY","Main City",No
3961,"MAINSTATE","Main State",No
3962,"MAINPOSTALCODE","Main Postal Code",No
3963,"MAINLONGITUDE","Main Longitude",No
3964,"MAINLATITUDE","Main Latitude",No
3965,"SHIPPINGCITY","Shipping City",No
3966,"SHIPPINGSTATE","Shipping State",No
3967,"SHIPPINGPOSTALCODE","Shipping Postal Code",No
3968,"SHIPPINGLONGITUDE","Shipping Longitude",No
3969,"SHIPPINGLATITUDE","Shipping Latitude",No
3970,"POSTALCODE","Postal Code",No
3971,"LONGITUDE","Longitude",No
3972,"LATITUDE","Latitude",No
3983,"ADMINISTRATIVE","Administrative",No
3984,"OPERATIVE","Operative",No
3995,"SESSION","Session",No
4046,"TEAM","Team",No
4047,"CODE","Code",No
4048,"JASROW","JAS Row",No
4054,"SAVEANDCLOSE","Save-N-Close",No
4055,"CANCELANDCLOSE","Cancel-N-Close",No
4078,"OWNER","Owner",No
4079,"OWNER","Owner",No
4080,"ORPHAN","Orphan",No
4081,"PRIVATEMEMO","Private Memo",No
4082,"READONLY","Read Only",No
4083,"WIDGETWIDTH","Widget Width",No
4084,"WIDGETHEIGHT","Widget Height",No
4085,"WIDGETMAXLENGTH","Widget Max Length",No
4086,"WIDGETTIME","Widget Time",No
4087,"WIDGETDATE","Widget Date",No
4089,"LOGENTRYTYPES","Log Entry Types",No
4090,"SESSIONTYPES","Session Types",No
4091,"SCREENTYPES","Screen Types",No
4092,"SECURITYGROUPS","Security Groups",No
4093,"SECURITYGROUPLINKS","Security Group Links",No
4094,"SECURITYGROUPUSERLINKS","Security Group User Links",No
4095,"SECURITYPERMISSIONUSERLINKS","Security Permission User Links",No
4096,"SESSION","Session",No
4097,"SYSTEMMODULES","System Modules",No
4098,"SYSTEMMODULELINKS","System Module Links",No
4099,"TABLESEARCH","Table Search",No
4101,"ROW","Row",No
4102,"TABLETYPES","Table Types",No
4103,"TABLETYPE","Table Type",No
4104,"TASKCATEGORIES","Task Categories",No
4105,"TASKCATEGORY","Task Category",No
4106,"TASKLINKS","Task Links",No
4107,"TASKLINK","Task Link",No
4108,"TASKPRIORITIES","Task Priorities",No
4109,"TASKPRIORITY","Task Priority",No
4110,"STATUSES","Statuses",No
4112,"FILTER","Filter",No
4113,"TEAMS","Teams",No
4114,"TEAMMEMBERS","Team Members",No
4115,"TEAMMEMBER","Team Member",No
4116,"USERPREFERENCELINKS","User Preference Links",No
4117,"USERPREFERENCELINK","User Preference Link",No
4118,"SESSIONDATARECORD","Session Data Record",No
4119,"VENDORS","Vendors",No
4120,"VENDOR","Vendor",No
4121,"WIDGETS","Widgets",No
4122,"WIDGETLINKS","Widget Links",No
4123,"WIDGETLINK","Widget Link",No
4124,"LANGUAGES","Languages",No
4125,"LANGUAGE","Language",No
4126,"NATIVENAME","Native Name",No
4127,"CASESUBJECT","Case Subject",No
4128,"SOURCE","Source",No
4129,"RESOLVED","Resolved",No
4130,"RESOLVEDBY","Resolved By",No
4131,"DEFAULTLOOKUPCOLUMN","Default Lookup Column",No
4134,"CUSTOMERCATEGORIES","Customer Categories",No
4135,"MESSAGE","Message",No
4136,"DATATYPES","Datatypes",No
4137,"NOTATION","Notation",No
